"doc_id","doc_name","arm_number","position","description","head","title-fill","authors-fill","study_type-fill","arm_efficacy_metric-fill","arm_efficacy_results-fill","arm_description-1-fill","arm_dosage-1-fill","arm_description-2-fill","arm_dosage-2-fill","arm_description-3-fill","arm_dosage-3-fill","arm_description-4-fill","arm_dosage-4-fill","arm_description-5-fill","arm_dosage-5-fill","arm_description-6-fill","arm_description-6","arm_dosage-6-fill","uuid","choice","title-tag","title","authors-tag","authors","study_type-tag","study_type","arm_efficacy_metric-tag","arm_efficacy_metric","arm_efficacy_results-tag","arm_efficacy_results","arm_description-1-tag","arm_description-1","arm_dosage-1-tag","arm_dosage-1","arm_description-2-tag","arm_description-2","arm_dosage-2-tag","arm_dosage-2","arm_description-3-tag","arm_description-3","arm_dosage-3-tag","arm_dosage-3","arm_description-4-tag","arm_description-4","arm_dosage-4-tag","arm_dosage-4","arm_description-5-tag","arm_description-5","arm_dosage-5-tag","arm_dosage-5","arm_description-6-tag","arm_dosage-6-tag","arm_dosage-6","submit"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","2","Paragraph 36","Nivolumab administration will be delayed in case of any AE , laboratory abnormality or intercurrent illness which , in the judgment of the investigator , warrants delaying the dose of study medication .","Immunotherapy","","","","","","0,1","","","","","","","","","","","["""",""""]","","06ca18b6-2b10-414c-967b-5a8c3d8f4a31","title","","","","","","","","","","","0,1","Nivolumab","","","","","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 37","Subjects may continue to receive treatment beyond confirmed progression in the absence of clinically significant deterioration and if investigators expect continual benefit from the treatment . For statistical analyses , these subjects will be considered to have investigator - assessed progressive disease at the time of the initial progression event .","Immunotherapy","","","","","","","","","","","","","","","","","["""",""""]","","578645c8-a6b7-438f-9669-9282df08536f","title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 38","Radiotherapy planning will be based on computed tomography ( CT ) images with minimal 5 mm slices . For robust and reproducible patient positioning during both planning and treatment , all positioning aids ( e.g. masks , cushions , vacuum beds ) are allowed .","Radiotherapy","","","","","","","","0,1","","","","","","","","","["""",""""]","","9c8864be-5e86-4f79-b366-594e7b0f479d","arm_description-2","","","","","","","","","","","","","","","0,1","Radiotherapy","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 39","For irradiation , tumor lesions in all non - cerebral / nonpulmonary locations can be included if radiotherapy is indicated and prescribed according to common good clinical practice ( e.g. bone , soft tissue , lymph nodes ) . Internal organ metastases ( such as in liver , pancreas , adrenal glands ) or brain metastases should not be irradiated . Patients with thoracic lesions ( e.g. thoracic spine , chest wall ) or mediastinal lymph nodes will be included if the planning target volume ( PTV ) for irradiation does not directly intersect with the contoured lungs .","Radiotherapy","","","","","","","","17,18","","","","","","","","","["""",""""]","","071442e2-7003-4bf2-af26-536968b42453","title","","","","","","","","","","","","","","","17,18","radiotherapy","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 40","Gross tumor volumes ( GTV ) are contoured on the planning CT , considering additional co - registered imaging techniques such as magnetic resonance imaging ( MRI ) or positron emission tomography ( PET ) , if available . Derived from the GTV , clinical ( CTV ) and planning target volumes ( PTV ) are created using common institutional margins to confidently cover radiation targets and simultaneously spare organs at risk ( OAR ) . Contouring of relevant OAR is only necessary in cases of close vicinity or anticipated critical radiation exposure . In case of thoracic target volumes , both lungs will be contoured to monitor lung dose exposure , which is required to be as low as reasonably achievable . In cases of subtotal lung registration , the OAR "" both partial lungs "" will be generated .","Radiotherapy","","","","","","","","","","","","","","","","","["""",""""]","","88c0a67c-a987-4aa6-b94d-cc873d35b613","title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 41","Radiation delivery must be planned 3D - conformally and CT - based with either photons or electrons including step - and - shoot / helical / volumetric intensity - modulated , stereotactic or conventional techniques using linear accelerators . Radiotherapy is delivered on workdays in 5 single fractions of 4 Gy up to a total dose of 20 Gy . Therefore , radiotherapy is expected to last no longer than 2 weeks . Dose specification follows the requirements of the reports 50 , 62 , and 83 of the International Commission of Radiation Units and Measurements .","Radiotherapy","","","","","","","","39,40,62,63","41,59","","","","","","","","["""",""""]","","cff06218-bb31-4d0d-b9d8-05fcd38e2cb9","arm_dosage-2","","","","","","","","","","","","","","","39,40,62,63","Radiotherapy radiotherapy","41,59","delivered on workdays in 5 single fractions of 4 Gy up to a total dose of 20 Gy","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 42","Adequate patient positioning and correct isocenter localisation are verified radiologically making use of either kV / MV - cone / fan - beam - CTs or conventional Xray - documentation of either isocenter or radiation fields . If positioning corrections are necessary , they must be documented in the radiotherapy protocol .","Radiotherapy","","","","","","","","49,50","","","","","","","","","["""",""""]","","d96c2974-72cf-40de-9059-1b95e8a9942b","title","","","","","","","","","","","","","","","49,50","radiotherapy","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 43","Tissue collection For each patient a formalin - fixed , paraffin - embedded ( FFPE ) tumor tissue block ( archival or recent ) or a minimum of 15 unstained slides of tumor sample ( 2 - 3 μm sections ; slices must be recent and collected on slides provided by the sponsor ) must be available for biomarker ( PD - L1 ) evaluation as stated in the inclusion criteria . Biopsy should be excisional , incisional or core - needle . Fine - needle aspiration is insufficient . Tumor PD - L1 assessment for retrospective sub - group analysis will be performed centrally according to institutional standards using the PD - L1 IHC 28 - 8 pharmDx assay .","Tissue and blood collection for exploratory endpoints","","","","","","","","","","","","","","","","","["""",""""]","","e5545135-76c0-4ce3-9969-3128c3da914e","title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 44","It will be at the discretion of the investigator to determine whether a re - biopsy of a patient is required . The decision to re - biopsy shall be based on clinical judgment and necessity and should follow local guidelines and standards . If a recent biopsy has been collected and submitted , submission of archival tissue , if available , is still highly encouraged . In cases where retrospective haematoxylin and eosin staining by the central lab determines insufficient amounts of tumor tissue for the biomarker analyses , additional archived tissue may be requested by the sponsor , if available . If a re - biopsy after progression under study treatment is performed , submission of this tumor material is highly valued .","Tissue and blood collection for exploratory endpoints","","","","","","","","","","","","","","","","","["""",""""]","","5e40b014-9c72-4145-8a03-b9930205ee24","title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Validate annotation"
"cf2f7499-6225-4935-935d-eeba87549455","Bozorgmehr-2019-Fostering efficacy of anti-PD-","1","Paragraph 46","Routine haematological analysis of red and white blood cells and platelets are part of the scheduled patient assessments under therapy and are not a specific part of the exploratory biomarker program . However , their results are mandatory baseline information as absolute cell counts for further investigations .","Tissue and blood collection for exploratory endpoints","","","","","","","","","","","","","","","","","["""",""""]","","b83996ae-b90c-47a7-91b3-cb88edcf15e0","title","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Validate annotation"
