doc_id,doc_name,arm_number,position,description,head,title-fill,authors-fill,study_type-fill,arm_efficacy_metric-fill,arm_efficacy_results-fill,arm_description-1-fill,arm_dosage-1-fill,arm_description-2-fill,arm_dosage-2-fill,arm_description-3-fill,arm_dosage-3-fill,arm_description-4-fill,arm_dosage-4-fill,arm_description-5-fill,arm_dosage-5-fill,arm_description-6-fill,arm_description-6,arm_dosage-6-fill,uuid,choice,title-tag,title,authors-tag,authors,study_type-tag,study_type,arm_efficacy_metric-tag,arm_efficacy_metric,arm_efficacy_results-tag,arm_efficacy_results,arm_description-1-tag,arm_description-1,arm_dosage-1-tag,arm_dosage-1,arm_description-2-tag,arm_description-2,arm_dosage-2-tag,arm_dosage-2,arm_description-3-tag,arm_description-3,arm_dosage-3-tag,arm_dosage-3,arm_description-4-tag,arm_description-4,arm_dosage-4-tag,arm_dosage-4,arm_description-5-tag,arm_description-5,arm_dosage-5-tag,arm_dosage-5,arm_description-6-tag,arm_dosage-6-tag,arm_dosage-6,submit
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Document Description,A phase 2 study of an oral mTORC1 / mTORC2 kinase inhibitor ( CC-223 ) for non - pancreatic neuroendocrine tumors with or without carcinoid symptoms,DOCUMENT DESCRIPTION,"0,26",,"1,4",,,"7,12,12,15",,,,,,,,,,,"["""",""""]",,5e095c90-205c-4729-b91c-c80b9dfaf1d3,arm_description-1,"0,26",A phase 2 study of an oral mTORC1 / mTORC2 kinase inhibitor ( CC-223 ) for non - pancreatic neuroendocrine tumors with or without carcinoid symptoms,,,"1,4",phase 2 study,,,,,"7,12",mTORC1 / mTORC2 kinase inhibitor,,,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Document Description,A phase 2 study of an oral mTORC1 / mTORC2 kinase inhibitor ( CC-223 ) for non - pancreatic neuroendocrine tumors with or without carcinoid symptoms EdwardWolin edward.wolin@mssm.edu,DOCUMENT DESCRIPTION,"0,26","26,27","1,4",,,"7,12,12,15",,,,,,,,,,,"["""",""""]",,c21d2dcb-f82f-4a11-b6e0-d65042bb2ba7,arm_description-5,"0,26",A phase 2 study of an oral mTORC1 / mTORC2 kinase inhibitor ( CC-223 ) for non - pancreatic neuroendocrine tumors with or without carcinoid symptoms,"26,27",EdwardWolin,"1,4",phase 2 study,,,,,"7,12",mTORC1 / mTORC2 kinase inhibitor,,,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Document Description,"UNITED STATES University of Wisconsin -Madison UNITED STATES UNITED STATES A phase 2 study of an oral mTORC1 / mTORC2 kinase inhibitor ( CC-223 ) for non - pancreatic neuroendocrine tumors with or without carcinoid symptoms September 17 , 2019 September 17 , 2019 September 17 , 2019 10.1371 / journal.pone.0221994 Received : December 3 , 2018 Accepted : July 20 , 2019",DOCUMENT DESCRIPTION,"10,36",,"11,14",,,"17,22,22,25",,,,,,,,,,,"["""",""""]",,1f2b5a26-2036-4ca6-87ca-9947086012ef,arm_dosage-4,"10,36",A phase 2 study of an oral mTORC1 / mTORC2 kinase inhibitor ( CC-223 ) for non - pancreatic neuroendocrine tumors with or without carcinoid symptoms,,,"11,14",phase 2 study,,,,,"17,22",mTORC1 / mTORC2 kinase inhibitor,,,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Paragraph 0,"Neuroendocrine tumors ( NET ) , although generally believed to be uncommon , are the second most common gastrointestinal ( GI ) malignancy , superseded only by colorectal neoplasias [ 1,2 ] . This malignancy is reported to be increasing in prevalence , with the greatest increase in lung , small intestine , and rectal NETs [ 1 ] . Although survival has improved with introduction of newer therapies , prognosis for patients with advanced disease remains poor [ 1 ] .",Introduction,,,,,,,,,,,,,,,,,"["""",""""]",,4536355f-d4f3-43cb-b9f3-4d43276be7dd,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Paragraph 1,"The phosphatidylinositol-4,5-bisphosphate 3-kinase ( PI3K)-protein kinase B ( AKT)-mammalian target of rapamycin ( mTOR ) signalling pathway , which is inappropriately activated in many cancers , plays a central role in the genesis and progression of NET . The mTOR complex 1 ( mTORC1 ) inhibitor everolimus has become well - established as an effective therapy for NET arising from the pancreas , lung , or GI tract , with an associated median progression - free survival ( PFS ) of 11.0 months [ 3,4 ] . mTOR kinase is a serine / threonine kinase that serves as a core component of two complexes ; mTORC1 and mTORC2 . The former modulates cell proliferation via phosphorylation of eukaryotic translation initiation factor 4E binding protein 1 ( 4E - BP1 ) and p70 ribosomal S6 kinase 1 ( S6K1 ) , whereas the latter acts via phosphorylation of AKT [ 5 ] . Everolimus inhibits the mTORC1 complex but may upregulate mTORC2 , which thus maintains AKT activation . Consequently , inhibitors that can target both complexes may offer clinical advantages in terms of improved efficacy [ 5][6][7][8][9][10 ] .",Introduction,,,,,,,,,,,,,,,,,"["""",""""]",,47720caf-fff2-49f6-a224-c60810f45c0e,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Paragraph 2,"CC-223 is an inhibitor of TOR kinase in mTORC1 and mTORC2 that is known to overcome mTORC2 feedback pathway upregulation and thus potentially minimize development of therapy resistance due to increased phosphorylation of AKT [ 11 ] . In non - clinical studies , inhibition of mTORC1 and mTORC2 leads to more effective inhibition of cancer cell proliferation than does blocking mTORC1 alone [ 11 ] . In mice bearing human carcinoid xenografts that secrete serotonin , tumors that progressed on rapamycin remained stable or decreased in volume from baseline after treatment with CC-223 [ 12 ] .",Introduction,,,,,,,,,,,,,,,,,"["""",""""]",,2c53de80-44f8-4485-ae8e-99c95aaf6126,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Paragraph 3,"In a first - in - human study , CC-223 was evaluated as a treatment for patients with advanced solid tumors , and the 45 mg / d dose was established as the maximum tolerated dose ( MTD ) [ 13 ] . Here , we report results of an expansion cohort in patients with non - pancreatic GI or unknown primary NET treated at the previously - established MTD or lower dose if needed .",Introduction,,,"4,8,50,52",,,"9,10","24,28",,,,,,,,,,"["""",""""]",,cfd3dacd-3744-45c1-a4ba-5e80b542a235,arm_description-4,,,,,"4,8,50,52",in - human study expansion cohort,,,,,"9,10",CC-223,"24,28",45 mg / d,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Paragraph 5,"Using the optimal CC-223 dose of 45 mg established in phase 1 [ 13 ] , cohort expansion objectives were to determine the tolerability of CC-223 , characterize the pharmacokinetic ( PK ) and pharmacodynamic ( biomarker ) profiles , and identify a preliminary efficacy signal in seven parallel cohorts of various preselected tumor types ; only the NET cohorts are reported here . Patient flow is shown in Fig 1 . The study ( NCT01177397 ) was conducted in accordance with the International Conference on Harmonisation ( ICH ) E6 requirements for Good Clinical Practice , in accordance with the ethical principles outlined in the Declaration of Helsinki and according to all other national and institutional guidelines . The study protocol was approved by the institutional review boards and other necessary oversight committees at each investigational site (",Study design and participants,,,"16,18",,,"3,4,25,26","6,8",,,,,,,,,,"["""",""""]",,aa6bc537-9df7-4975-9217-370575a73499,arm_dosage-4,,,,,"16,18",cohort expansion,,,,,"3,4,25,26",CC-223 CC-223,"6,8",45 mg,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,1,Paragraph 6,"CC-223 capsules were taken orally once daily in continuous 28-day cycles . An initial cohort started CC-223 at a dose of 45 mg ; this was the maximum tolerated dose ( MTD ) established in phase 1 but , after observing a high rate of dose adjustments due to toxicity among patients with NET , a second cohort started CC-223 at 30 mg . To mitigate toxicity , dosage could be adjusted with either short interruptions , dose level reductions , or every - other - day administration . Treatment was permanently discontinued for disease progression , unmanageable toxicity , patient withdrawal of consent , or other reasons specified by the protocol as requiring study withdrawal .",Procedures,,,,,,"0,1,16,17,59,60","4,11,21,23",,,,,,,,,,"["""",""""]",,91c02e56-7981-4b9b-af60-b2242e2a5549,arm_dosage-5,,,,,,,,,,,"0,1,16,17,59,60",CC-223 CC-223 CC-223,"4,11,21,23",orally once daily in continuous 28-day cycles 45 mg,,,,,,,,,,,,,,,,,,,,Validate annotation
55d5ef3f-1065-49cf-b81f-4eb22bed3a1d,Wolin-2019-A phase 2 study of an oral mTORC1_m,2,Paragraph 6,"CC-223 capsules were taken orally once daily in continuous 28-day cycles . An initial cohort started CC-223 at a dose of 45 mg ; this was the maximum tolerated dose ( MTD ) established in phase 1 but , after observing a high rate of dose adjustments due to toxicity among patients with NET , a second cohort started CC-223 at 30 mg . To mitigate toxicity , dosage could be adjusted with either short interruptions , dose level reductions , or every - other - day administration . Treatment was permanently discontinued for disease progression , unmanageable toxicity , patient withdrawal of consent , or other reasons specified by the protocol as requiring study withdrawal .",Procedures,,,,,,"59,60","4,11,61,63",,,,,,,,,,"["""",""""]",,917ecd70-86a0-43de-a825-ee7afb24fe33,arm_description-3,,,,,,,,,,,"59,60",CC-223,"4,11,61,63",orally once daily in continuous 28-day cycles 30 mg,,,,,,,,,,,,,,,,,,,,Validate annotation
