"","doc_id","doc_name","arm_number","position","description","head","choice","title-tag","title","authors-tag","authors","study_type-tag","study_type","arm_efficacy_metric-tag","arm_efficacy_metric","arm_efficacy_results-tag","arm_efficacy_results","arm_description-1-tag","arm_description-1","arm_dosage-1-tag","arm_dosage-1","submit-prefill","submit-stay","submit","arm_description-2-tag","arm_description-2","arm_dosage-2-tag","arm_dosage-2","arm_description-3-tag","arm_description-3","arm_dosage-3-tag","arm_dosage-3","arm_description-4-tag","arm_description-4","arm_dosage-4-tag","arm_dosage-4","arm_description-5-tag","arm_description-5","arm_dosage-5-tag","arm_dosage-5"
"0","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Document Description","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) 31 January 2020 31 January 2020 FayHCafferty","DOCUMENT DESCRIPTION","arm_description-1","0,45,45,90","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 )","96,97","FayHCafferty","38,42,83,87","randomised phase II trial randomised phase II trial","","","","","9,22,54,67","carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin","","","Save and annotate new arm (prefilled)","","","","","","","","","","","","","","","","","",""
"1","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","2","Document Description","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) 31 January 2020 31 January 2020 FayHCafferty","DOCUMENT DESCRIPTION","arm_description-1","","","","","","","","","","","9,22,54,67","carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin","","","","Save and annotate another arm","","","","","","","","","","","","","","","","",""
"2","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","3","Document Description","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) 31 January 2020 31 January 2020 FayHCafferty","DOCUMENT DESCRIPTION","arm_description-1","","","","","","","","","","","25,30,70,75","bleomycin , etoposide and cisplatin bleomycin , etoposide and cisplatin","","","","","Submit arm","","","","","","","","","","","","","","","",""
"3","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Document Description","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) 31 January 2020 10.1016 / j.ejca.2019.12.028","DOCUMENT DESCRIPTION","arm_description-1","0,44","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604","","","38,42","randomised phase II trial","","","","","9,22","carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin","","","Save and annotate new arm (prefilled)","","","","","","","","","","","","","","","","","",""
"4","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","2","Document Description","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) 31 January 2020 10.1016 / j.ejca.2019.12.028","DOCUMENT DESCRIPTION","arm_description-1","","","","","","","","","","","25,30","bleomycin , etoposide and cisplatin","","","","","Submit arm","","","","","","","","","","","","","","","",""
"5","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Document Description","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) FayHCafferty","DOCUMENT DESCRIPTION","arm_description-1","0,44","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604","45,46","FayHCafferty","38,42","randomised phase II trial","","","","","9,22","carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin","","","","Save and annotate another arm","","","","","","","","","","","","","","","","",""
"6","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","2","Document Description","Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) FayHCafferty","DOCUMENT DESCRIPTION","arm_description-1","","","","","","","","","","","25,30","bleomycin , etoposide and cisplatin","","","","","Submit arm","","","","","","","","","","","","","","","",""
"7","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Document Description","UK Hucknall Road NG5 1PB Nottingham UK SallyPStenning SallyPStenning Sally P Stenning RobertAHuddart RobertAHuddart Robert A Huddart UCL 90 High Holborn WC1V 6LJ London UK UCL 90 High Holborn WC1V 6LJ London","DOCUMENT DESCRIPTION","authors","","","7,8,8,9,9,12,12,13,13,14,14,17","SallyPStenning SallyPStenning Sally P Stenning RobertAHuddart RobertAHuddart Robert A Huddart","","","","","","","","","","","","","Submit arm","","","","","","","","","","","","","","","",""
"8","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Document Description","UK 90 High Holborn WC1V 6LJ London UK The Institute of Cancer Research and the Royal Marsden NHS Foundation Trust Downs Road SM2 5PT Sutton","DOCUMENT DESCRIPTION","title","","","","","","","","","","","","","","","","","Submit arm","","","","","","","","","","","","","","","",""
"9","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Document Description","UK 90 High Holborn 2nd Floo WC1V 6LJ London UK Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) 31 January 2020 31 January 2020 31 January 2020 10.1016 / j.ejca.2019.12.028 Received 6 October 2019 ; received in revised form 19 December 2019 ; accepted 21 December 2019","DOCUMENT DESCRIPTION","arm_description-1","8,55","London UK Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 )","","","48,52","randomised phase II trial","","","","","19,32","carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin","","","","Save and annotate another arm","","","","","","","","","","","","","","","","",""
"10","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","2","Document Description","UK 90 High Holborn 2nd Floo WC1V 6LJ London UK Long - term outcomes with intensive induction chemotherapy ( carboplatin , bleomycin , vincristine and cisplatin / bleomycin , etoposide and cisplatin ) and standard bleomycin , etoposide and cisplatin in poor prognosis germ cell tumours : A randomised phase II trial ( ISRCTN53643604 ) 31 January 2020 31 January 2020 31 January 2020 10.1016 / j.ejca.2019.12.028 Received 6 October 2019 ; received in revised form 19 December 2019 ; accepted 21 December 2019","DOCUMENT DESCRIPTION","arm_description-1","","","","","","","","","","","35,40","bleomycin , etoposide and cisplatin","","","","","Submit arm","","","","","","","","","","","","","","","",""
"11","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Paragraph 0","BEP ( bleomycin , etoposide and cisplatin ) chemotherapy has been the standard treatment for metastatic germ cell tumours ( GCTs ) for many years and is successful for many patients . However , there is a wellcharacterised poor prognosis group for whom cure rates remain less than 50 % [ 1 ] . Attempts to improve on this have , to date , been largely unsuccessful [ 2 ] . Most recently , the GETUG ( Genito - Urinary Group of the French Federation of Cancer Centres ) 13 trial suggested that dose intensification based on inadequate marker decline during early treatment may be beneficial [ 3 ] .","Introduction","title","","","","","","","","","","","","","","","","","Submit arm","","","","","","","","","","","","","","","",""
"12","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Paragraph 1","TE23 ( ISRCTN 53643604 ) was a randomised , phase II trial aiming to assess the efficacy and safety of a dose - intense regimen , CBOP / BEP ( carboplatin , bleomycin , vincristine , cisplatin / BEP ) , in these patients . The regimen , originally developed by the Royal Marsden Testicular Tumour Unit based on Wettlaufer et al . [ 4 ] , features early dose - intensity,{super comma ? } use of infusional bleomycin ( rather than bolus injections ) and BEP with reduced bleomycin dose in the second stage .","Introduction","title","","","","","","","","","","","","","","","","","Submit arm","","","","","","","","","","","","","","","",""
"13","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Paragraph 2","In the primary analysis , CBOP / BEP met response targets : 74 % of patients achieved a complete response or partial response marker negative ( 90 % CI : 61%e85 % ; primary outcome ) [ 2 ] . The trial was not powered to compare arms but BEP response rate e used as a benchmark e was as expected at 61 % ( 90 % CI : 48 % , 73 % ) . Acute toxicity , particularly haematological , was higher with CBOP / BEP .","Introduction","title","","","","","","","","","","","","","","","","","Submit arm","","","","","","","","","","","","","","","",""
"14","c5e77289-4eb8-4ec4-8e8d-44156a48f859","Cafferty-2020-Long-term outcomes with intensiv","1","Paragraph 3","Here , we report long - term data from the trial , including efficacy outcomes and late toxicity . In addition , the role of early marker decline for predicting long - term outcomes is considered .","Introduction","title","","","","","","","","","","","","","","","","","Submit arm","","","","","","","","","","","","","","","",""
